system   D            wsystem.c:583  maybe_parent_dir                 [   0.00028] Also searching C:\Terraf0rm\Terraf0rm\Terraf0rm\
display  D   display_settings.c:486  _al_score_display_settings       [   0.01671] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01672] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.01673] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.01674] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.01675] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.01676] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.01677] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01679] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01680] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01681] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.01682] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.01683] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.01684] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.01685] Score is : 585
display  D   display_settings.c:357  _al_score_display_settings       [   0.01686] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01687] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01688] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01689] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01690] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01692] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01693] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01694] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01695] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01696] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01697] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01698] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01699] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01701] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01702] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01703] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01704] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01705] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01706] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01707] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01709] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01710] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01711] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01712] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01713] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01714] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01715] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01717] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01718] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01719] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01720] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01721] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01722] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01723] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01724] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01725] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01727] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01728] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01729] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01730] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01731] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01732] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01733] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01734] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01735] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01737] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01738] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01739] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01740] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01741] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01742] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01743] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01744] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01745] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01747] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01748] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01749] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01750] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01751] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01752] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01753] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01755] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01756] Single Buffer requirement not met.
display  D   display_settings.c:197  _al_score_display_settings       [   0.01757] Display not compatible with Allegro.
display  D   display_settings.c:197  _al_score_display_settings       [   0.01758] Display not compatible with Allegro.
display  D   display_settings.c:197  _al_score_display_settings       [   0.01759] Display not compatible with Allegro.
display  D   display_settings.c:197  _al_score_display_settings       [   0.01760] Display not compatible with Allegro.
display  D   display_settings.c:197  _al_score_display_settings       [   0.01761] Display not compatible with Allegro.
display  D   display_settings.c:197  _al_score_display_settings       [   0.01762] Display not compatible with Allegro.
display  D   display_settings.c:197  _al_score_display_settings       [   0.01764] Display not compatible with Allegro.
display  D   display_settings.c:197  _al_score_display_settings       [   0.01765] Display not compatible with Allegro.
display  D   display_settings.c:197  _al_score_display_settings       [   0.01766] Display not compatible with Allegro.
display  D   display_settings.c:197  _al_score_display_settings       [   0.01767] Display not compatible with Allegro.
display  D   display_settings.c:197  _al_score_display_settings       [   0.01768] Display not compatible with Allegro.
display  D   display_settings.c:197  _al_score_display_settings       [   0.01769] Display not compatible with Allegro.
display  D   display_settings.c:197  _al_score_display_settings       [   0.01770] Display not compatible with Allegro.
display  D   display_settings.c:197  _al_score_display_settings       [   0.01772] Display not compatible with Allegro.
display  W   display_settings.c:634  _al_deduce_color_format          [   0.01782] Could not deduce color format, sizes = (0,0,0,0,0), shifts = (0,0,0,0)
display  W   display_settings.c:634  _al_deduce_color_format          [   0.02033] Could not deduce color format, sizes = (0,0,0,0,0), shifts = (0,0,0,0)
display  W   display_settings.c:634  _al_deduce_color_format          [   0.02282] Could not deduce color format, sizes = (0,0,0,0,0), shifts = (0,0,0,0)
display  W   display_settings.c:634  _al_deduce_color_format          [   0.02539] Could not deduce color format, sizes = (0,0,0,0,0), shifts = (0,0,0,0)
display  W   display_settings.c:634  _al_deduce_color_format          [   0.02813] Could not deduce color format, sizes = (0,0,0,0,0), shifts = (0,0,0,0)
display  W   display_settings.c:634  _al_deduce_color_format          [   0.03068] Could not deduce color format, sizes = (0,0,0,0,0), shifts = (0,0,0,0)
display  W   display_settings.c:634  _al_deduce_color_format          [   0.03319] Could not deduce color format, sizes = (0,0,0,0,0), shifts = (0,0,0,0)
display  W   display_settings.c:634  _al_deduce_color_format          [   0.03569] Could not deduce color format, sizes = (0,0,0,0,0), shifts = (0,0,0,0)
display  W   display_settings.c:634  _al_deduce_color_format          [   0.03819] Could not deduce color format, sizes = (0,0,0,0,0), shifts = (0,0,0,0)
display  W   display_settings.c:634  _al_deduce_color_format          [   0.04076] Could not deduce color format, sizes = (0,0,0,0,0), shifts = (0,0,0,0)
display  W   display_settings.c:634  _al_deduce_color_format          [   0.04326] Could not deduce color format, sizes = (0,0,0,0,0), shifts = (0,0,0,0)
d3d      D         d3d_disp.cpp:1836 d3d_create_display_internals     [   0.04574] Trying format 0 of 428.
d3d      I         d3d_disp.cpp:1514 d3d_display_thread_proc          [   0.04593] Chose a display format: 23
d3d      I         d3d_disp.cpp:1583 d3d_display_thread_proc          [   0.04596] Normal window.
d3d      D         d3d_disp.cpp:1611 d3d_display_thread_proc          [   0.04964] Creating real fullscreen device
d3d      I         d3d_disp.cpp:769  d3d_create_fullscreen_device     [   0.20281] Fullscreen Direct3D device created.
d3d      I         d3d_disp.cpp:1619 d3d_display_thread_proc          [   0.20284] Real fullscreen device created
d3d      D         d3d_disp.cpp:1859 d3d_create_display_internals     [   0.20289] Resumed after wait.
d3d      I         d3d_disp.cpp:1884 d3d_create_display_internals     [   0.20300] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.20995] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.20998] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.20999] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.21000] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.21001] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.21002] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.21003] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.21004] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.21005] Fake format
d3d      D         d3d_disp.cpp:1362 real_choose_bitmap_format        [   0.21006] Alpha doesn't match
d3d      D         d3d_disp.cpp:1369 real_choose_bitmap_format        [   0.21007] Adapter format is 23
d3d      D         d3d_disp.cpp:1372 real_choose_bitmap_format        [   0.21008] Found a format
d3d      I         d3d_disp.cpp:2446 _al_d3d_create_bitmap            [   0.21009] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.21044] added dtor for object 00C2B388, func 541727D4
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.21134] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.21137] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.21276] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.21278] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.21279] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.21280] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.21281] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.21282] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.21283] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.21284] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.21285] Fake format
d3d      D         d3d_disp.cpp:1362 real_choose_bitmap_format        [   0.21286] Alpha doesn't match
d3d      D         d3d_disp.cpp:1369 real_choose_bitmap_format        [   0.21287] Adapter format is 23
d3d      D         d3d_disp.cpp:1372 real_choose_bitmap_format        [   0.21288] Found a format
d3d      I         d3d_disp.cpp:2446 _al_d3d_create_bitmap            [   0.21289] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.21307] added dtor for object 00C33780, func 541727D4
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.21316] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.21318] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.21462] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.21463] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.21620] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.21621] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.21622] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.21623] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.21624] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.21625] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.21626] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.21627] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.21628] Fake format
d3d      D         d3d_disp.cpp:1362 real_choose_bitmap_format        [   0.21629] Alpha doesn't match
d3d      D         d3d_disp.cpp:1369 real_choose_bitmap_format        [   0.21630] Adapter format is 23
d3d      D         d3d_disp.cpp:1372 real_choose_bitmap_format        [   0.21631] Found a format
d3d      I         d3d_disp.cpp:2446 _al_d3d_create_bitmap            [   0.21632] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.21646] added dtor for object 00C3ECE0, func 541727D4
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.21654] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.21655] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.21730] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.21731] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.21999] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.22003] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.22004] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.22005] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.22006] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.22007] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.22008] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.22009] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.22010] Fake format
d3d      D         d3d_disp.cpp:1362 real_choose_bitmap_format        [   0.22011] Alpha doesn't match
d3d      D         d3d_disp.cpp:1369 real_choose_bitmap_format        [   0.22012] Adapter format is 23
d3d      D         d3d_disp.cpp:1372 real_choose_bitmap_format        [   0.22013] Found a format
d3d      I         d3d_disp.cpp:2446 _al_d3d_create_bitmap            [   0.22014] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.22042] added dtor for object 00C42EC0, func 541727D4
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.22053] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.22055] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.22132] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.22133] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.22217] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.22218] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.22219] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.22220] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.22221] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.22222] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.22223] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.22224] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.22225] Fake format
d3d      D         d3d_disp.cpp:1362 real_choose_bitmap_format        [   0.22226] Alpha doesn't match
d3d      D         d3d_disp.cpp:1369 real_choose_bitmap_format        [   0.22227] Adapter format is 23
d3d      D         d3d_disp.cpp:1372 real_choose_bitmap_format        [   0.22228] Found a format
d3d      I         d3d_disp.cpp:2446 _al_d3d_create_bitmap            [   0.22229] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.22282] added dtor for object 00C46FF0, func 541727D4
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.22337] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.22339] _al_d3d_sync_bitmap (video) ref count == 1
font     D                ttf.c:799  al_load_ttf_font_stretch_f       [   0.24050] Font fonts/arial.ttf loaded with pixel size 0 x 10.
font     D                ttf.c:801  al_load_ttf_font_stretch_f       [   0.24052]     ascent=9.0, descent=-2.0, height=12.0
dtor     D               dtor.c:184  _al_register_destructor          [   0.24054] added dtor for object 00BC8B40, func 54171DA7
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.24925] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.24927] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.24928] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.24929] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.24930] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.24931] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.24932] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.24933] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.24934] Fake format
d3d      D         d3d_disp.cpp:1362 real_choose_bitmap_format        [   0.24935] Alpha doesn't match
d3d      D         d3d_disp.cpp:1369 real_choose_bitmap_format        [   0.24936] Adapter format is 23
d3d      D         d3d_disp.cpp:1372 real_choose_bitmap_format        [   0.24937] Found a format
d3d      I         d3d_disp.cpp:2446 _al_d3d_create_bitmap            [   0.24938] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.24977] added dtor for object 00C69DA8, func 541727D4
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.25286] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.25288] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.26263] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.26265] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.27537] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.27538] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.27539] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.27540] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.27541] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.27542] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.27543] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.27544] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.27545] Fake format
d3d      D         d3d_disp.cpp:1362 real_choose_bitmap_format        [   0.27548] Alpha doesn't match
d3d      D         d3d_disp.cpp:1369 real_choose_bitmap_format        [   0.27549] Adapter format is 23
d3d      D         d3d_disp.cpp:1372 real_choose_bitmap_format        [   0.27550] Found a format
d3d      I         d3d_disp.cpp:2446 _al_d3d_create_bitmap            [   0.27551] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.27585] added dtor for object 00C69F58, func 541727D4
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.27624] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.27626] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.28467] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.28469] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.29727] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.29729] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.29730] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.29731] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.29732] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.29733] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.29733] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.29734] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.29735] Fake format
d3d      D         d3d_disp.cpp:1362 real_choose_bitmap_format        [   0.29736] Alpha doesn't match
d3d      D         d3d_disp.cpp:1369 real_choose_bitmap_format        [   0.29737] Adapter format is 23
d3d      D         d3d_disp.cpp:1372 real_choose_bitmap_format        [   0.29738] Found a format
d3d      I         d3d_disp.cpp:2446 _al_d3d_create_bitmap            [   0.29739] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.29788] added dtor for object 00C6A058, func 541727D4
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.29849] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.29851] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.31526] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.31533] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.34034] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.34036] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.34037] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.34038] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.34039] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.34040] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.34041] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.34042] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.34043] Fake format
d3d      D         d3d_disp.cpp:1362 real_choose_bitmap_format        [   0.34044] Alpha doesn't match
d3d      D         d3d_disp.cpp:1369 real_choose_bitmap_format        [   0.34045] Adapter format is 23
d3d      D         d3d_disp.cpp:1372 real_choose_bitmap_format        [   0.34046] Found a format
d3d      I         d3d_disp.cpp:2446 _al_d3d_create_bitmap            [   0.34047] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.34098] added dtor for object 00C6A158, func 541727D4
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.34359] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.34361] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.36233] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.36236] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.38753] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.38755] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.38756] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.38757] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.38758] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.38759] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.38760] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.38761] Fake format
d3d      D         d3d_disp.cpp:1354 real_choose_bitmap_format        [   0.38762] Fake format
d3d      D         d3d_disp.cpp:1362 real_choose_bitmap_format        [   0.38763] Alpha doesn't match
d3d      D         d3d_disp.cpp:1369 real_choose_bitmap_format        [   0.38764] Adapter format is 23
d3d      D         d3d_disp.cpp:1372 real_choose_bitmap_format        [   0.38765] Found a format
d3d      I         d3d_disp.cpp:2446 _al_d3d_create_bitmap            [   0.38766] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.38798] added dtor for object 00C6A2C8, func 541727D4
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.38847] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.38849] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   0.39723] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   0.39725] _al_d3d_sync_bitmap (video) ref count == 1
