system   D            wsystem.c:583  maybe_parent_dir                 [   0.00028] Also searching C:\Terraf0rm\Terraf0rm\Terraf0rm\
display  D   display_settings.c:357  _al_score_display_settings       [   0.01373] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01375] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01376] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01377] Single Buffer requirement not met.
display  D   display_settings.c:486  _al_score_display_settings       [   0.01378] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01379] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01380] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01381] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01382] Score is : 769
display  D   display_settings.c:486  _al_score_display_settings       [   0.01383] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01384] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01385] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01386] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.01388] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.01389] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.01390] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.01391] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.01392] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01393] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01394] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01395] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.01396] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.01397] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.01398] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.01399] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.01400] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01401] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01402] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01403] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.01404] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.01405] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.01407] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.01408] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.01409] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01410] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01411] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01412] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.01413] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.01414] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.01415] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.01416] Score is : 585
display  D   display_settings.c:486  _al_score_display_settings       [   0.01417] Score is : 641
display  D   display_settings.c:486  _al_score_display_settings       [   0.01418] Score is : 609
display  D   display_settings.c:486  _al_score_display_settings       [   0.01419] Score is : 598
display  D   display_settings.c:486  _al_score_display_settings       [   0.01420] Score is : 593
display  D   display_settings.c:486  _al_score_display_settings       [   0.01422] Score is : 589
display  D   display_settings.c:486  _al_score_display_settings       [   0.01423] Score is : 587
display  D   display_settings.c:486  _al_score_display_settings       [   0.01424] Score is : 586
display  D   display_settings.c:486  _al_score_display_settings       [   0.01425] Score is : 585
display  D   display_settings.c:357  _al_score_display_settings       [   0.01426] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01427] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01428] Single Buffer requirement not met.
display  D   display_settings.c:357  _al_score_display_settings       [   0.01429] Single Buffer requirement not met.
